date,open,close,high,low,volume,amount,up,down
2009-12-07,3313.06,3331.9,3334.01,3302.13,157473100,175696068608,751,131
2009-12-08,3330.33,3296.66,3330.38,3260.67,153232500,166065160192,313,575
2009-12-09,3258,3239.57,3284.65,3228.2,129467500,139285970944,156,747
2009-12-10,3258.35,3254.26,3276.13,3225.56,105610100,115025215488,658,213
2009-12-11,3260.45,3247.32,3280.94,3242.37,103129000,109995704320,345,520
2009-12-14,3246.95,3302.9,3315.03,3178.23,139662200,143874719744,335,554
2009-12-15,3283.6,3274.46,3303.18,3267.94,116372700,128944832512,441,428
2009-12-16,3262.86,3255.21,3299.33,3246.61,116057600,125727342592,310,565
2009-12-17,3261.61,3179.08,3272.97,3176.63,119382200,126605213696,79,814
2009-12-18,3154.82,3113.89,3169.58,3108.03,113626400,118903316480,55,836
2009-12-21,3108.07,3122.97,3123.99,3088,86047200,92492021760,721,161
2009-12-22,3126.62,3050.52,3129.31,3039.86,96817200,101680988160,95,792
2009-12-23,3048.2,3073.78,3078.84,3041.35,90495800,92940558336,792,97
2009-12-24,3080.87,3153.41,3156.53,3075.11,118410900,126387109888,883,5
2009-12-25,3149.23,3141.35,3154.77,3128.15,92991100,103124148224,473,374
2009-12-28,3148.86,3188.78,3202.09,3148.86,103142100,112776855552,819,44
2009-12-29,3190.17,3211.76,3212.52,3166.76,111437600,118827794432,479,368
2009-12-30,3211.83,3262.6,3267,3206.22,154267500,162894413824,364,497
2009-12-31,3265,3277.14,3282.21,3250.03,133111800,142323580928,669,186
2010-01-04,3289.75,3243.76,3295.28,3243.32,122446200,136464146432,372,497
2010-01-05,3254.47,3282.18,3290.51,3221.46,142274900,165339381760,605,281
2010-01-06,3277.52,3254.21,3295.87,3253.04,135131300,160284426240,353,522
2010-01-07,3253.99,3192.78,3268.82,3176.71,145228700,160533823488,110,789
2010-01-08,3177.26,3196,3198.92,3149.02,114602500,124813623296,660,217
2010-01-11,3301.61,3212.75,3306.75,3197.33,161502100,182514876416,482,404
2010-01-12,3205.7,3273.97,3275.2,3180.08,159128700,177844224000,818,82
2010-01-13,3204.98,3172.66,3232.82,3165.49,185213100,202360602624,245,652
2010-01-14,3183.38,3215.55,3219.02,3165.6,151986600,171208540160,860,41
2010-01-15,3217.19,3224.15,3241.82,3197.22,131414000,153643335680,549,321
2010-01-18,3213.64,3237.1,3238.24,3202.21,145703500,171726454784,730,161
2010-01-19,3242.22,3246.87,3268.81,3236.84,144950100,165774835712,406,479
